 T: 2018-02-08 17:51:53,505 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:53,528 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:53,667 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,455 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,455 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,455 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,460 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,461 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,917 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,918 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:51:59,918 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6505ffa8-8ab4-4205-8ad0-2564f9e7c133' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
