 T: 2018-02-08 17:54:59,242 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:54:59,258 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:54:59,320 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:06,992 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:06,992 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:06,992 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:06,992 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:06,992 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,398 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,398 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,398 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,398 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,398 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,555 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,555 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,555 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '51176664-f690-4072-8cf2-a570907adce8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,617 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e1755044-6759-41f7-b25f-294bb137f073' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,633 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e1755044-6759-41f7-b25f-294bb137f073' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:07,633 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e1755044-6759-41f7-b25f-294bb137f073' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:55:09,117 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e1755044-6759-41f7-b25f-294bb137f073' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
