 T: 2018-02-08 19:39:19,288 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:19,309 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:19,377 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:25,924 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:25,925 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:25,925 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:25,930 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:25,933 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:26,387 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:26,387 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:39:26,387 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '611da48f-4430-45f4-aff8-c9d6e131dedc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
