 T: 2018-02-08 19:50:59,353 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:50:59,369 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:50:59,463 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,057 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,057 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,057 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,057 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,057 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,713 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,713 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,713 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6a8fed7e-40cb-48b3-af44-a9ac351c4fa7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 19:51:07,822 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'b85e4343-4e56-4f25-8dc1-1e9838362209' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
