 T: 2018-02-08 21:08:33,124 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:33,146 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:33,270 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:41,908 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:41,908 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:41,908 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:41,913 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:41,915 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:42,283 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:42,283 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:08:42,283 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd4c227c8-f174-402e-82a1-d38aca0b78a4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
