 T: 2018-02-08 21:12:19,618 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:19,646 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:19,703 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:25,645 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:25,645 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:25,645 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:25,650 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:25,651 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:26,013 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:26,013 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 21:12:26,014 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2717d021-9e05-4c06-8f73-4aaed1a03091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
