 T: 2018-02-08 22:35:17,216 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:17,232 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:17,310 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:24,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:24,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:24,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:24,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:24,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:25,435 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:25,435 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:35:25,435 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'cc593e1b-d50c-463b-8d36-7216c4626900' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
