 T: 2018-02-08 22:46:35,210 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:35,232 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:35,291 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,187 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,187 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,187 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,191 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,193 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,606 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,606 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 22:46:41,606 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e199ce2-f7a2-46e9-aade-9794f48cb50d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
