 T: 2018-02-08 23:01:31,489 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:31,506 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:31,560 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,390 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,390 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,391 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,395 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,397 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,804 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,804 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,804 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,806 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,807 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:01:37,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db604b5d-5a2a-49e6-89d5-585a8eac7091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
