 T: 2018-02-08 23:20:46,972 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:46,988 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:47,029 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,077 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,077 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,077 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,081 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,083 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,459 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,459 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 23:20:53,459 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '69e76803-fc58-4fca-a8f5-663d49afdede' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
